[id][cost,state,father_id,action,depth,h,value]
[0][0,(0, 0),None,None,0,48.0,48.0]
[1][2.0,(0, 1),0,E,1,47.0,49.0]
[4][6.0,(1, 1),1,S,2,46.0,52.0]
[12][10.0,(2, 1),4,S,3,45.0,55.0]
[23][13.0,(3, 1),12,S,4,44.0,57.0]
[35][15.0,(3, 2),23,E,5,43.0,58.0]
[47][17.0,(3, 3),35,E,6,42.0,59.0]
[57][20.0,(3, 4),47,E,7,41.0,61.0]
[71][23.0,(4, 4),57,S,8,40.0,63.0]
[90][28.0,(4, 5),71,E,9,39.0,67.0]
[137][32.0,(5, 5),90,S,10,38.0,70.0]
[162][34.0,(6, 5),137,S,11,37.0,71.0]
[171][36.0,(6, 6),162,E,12,36.0,72.0]
[189][39.0,(6, 7),171,E,13,35.0,74.0]
[209][42.0,(7, 7),189,S,14,34.0,76.0]
[229][44.0,(8, 7),209,S,15,33.0,77.0]
[247][47.0,(8, 8),229,E,16,32.0,79.0]
[271][49.0,(8, 9),247,E,17,31.0,80.0]
[290][52.0,(9, 9),271,S,18,30.0,82.0]
[325][56.0,(10, 9),290,S,19,29.0,85.0]
[398][59.0,(11, 9),325,S,20,28.0,87.0]
[444][61.0,(11, 10),398,E,21,27.0,88.0]
[474][65.0,(12, 10),444,S,22,26.0,91.0]
[547][67.0,(13, 10),474,S,23,25.0,92.0]
[567][69.0,(14, 10),547,S,24,24.0,93.0]
[605][72.0,(14, 11),567,E,25,23.0,95.0]
[668][75.0,(15, 11),605,S,26,22.0,97.0]
[726][78.0,(15, 12),668,E,27,21.0,99.0]
[779][81.0,(15, 13),726,E,28,20.0,101.0]
[841][85.0,(15, 14),779,E,29,19.0,104.0]
[943][88.0,(15, 15),841,E,30,18.0,106.0]
[1016][90.0,(16, 15),943,S,31,17.0,107.0]
[1052][93.0,(17, 15),1016,S,32,16.0,109.0]
[1140][96.0,(17, 16),1052,E,33,15.0,111.0]
[1228][98.0,(17, 17),1140,E,34,14.0,112.0]
[1283][100.0,(18, 17),1228,S,35,13.0,113.0]
[1326][102.0,(19, 17),1283,S,36,12.0,114.0]
[1362][105.0,(20, 17),1326,S,37,11.0,116.0]
[1460][107.0,(21, 17),1362,S,38,10.0,117.0]
[1524][110.0,(21, 18),1460,E,39,9.0,119.0]
[1615][112.0,(21, 19),1524,E,40,8.0,120.0]
[1669][114.0,(21, 20),1615,E,41,7.0,121.0]
[1708][120.0,(21, 21),1669,E,42,6.0,126.0]
[1852][123.0,(21, 22),1708,E,43,5.0,128.0]
[1890][126.0,(22, 22),1852,S,44,4.0,130.0]
[1920][129.0,(22, 23),1890,E,45,3.0,132.0]
[1933][132.0,(22, 24),1920,E,46,2.0,134.0]
[1946][134.0,(23, 24),1933,S,47,1.0,135.0]
[1953][140.0,(24, 24),1946,S,48,0.0,140.0]
